x_km,pantograph_voltage_kV,line_current_A,active_line_loss_kW,load_reactive_power_kvar,line_reactive_power_kvar
10.500000,24.883342,178.611232,13.398828,1937.288419,20.098243
10.600000,24.882225,178.619252,13.527651,1937.288419,20.291476
10.700000,24.881108,178.627273,13.656497,1937.288419,20.484745
10.800000,24.879990,178.635296,13.785366,1937.288419,20.678049
10.900000,24.878873,178.643321,13.914258,1937.288419,20.871387
11.000000,24.877755,178.651347,14.043174,1937.288419,21.064760
11.100000,24.876637,178.659374,14.172112,1937.288419,21.258169
11.200000,24.875519,178.667403,14.301074,1937.288419,21.451612
11.300000,24.874401,178.675434,14.430060,1937.288419,21.645089
11.400000,24.873283,178.683466,14.559068,1937.288419,21.838602
11.500000,24.872165,178.691500,14.688100,1937.288419,22.032150
11.600000,24.871046,178.699536,14.817155,1937.288419,22.225733
11.700000,24.869928,178.707573,14.946234,1937.288419,22.419350
11.800000,24.868809,178.715611,15.075335,1937.288419,22.613003
11.900000,24.867691,178.723651,15.204460,1937.288419,22.806690
12.000000,24.866572,178.731693,15.333609,1937.288419,23.000413
